"121","1","101","1600.00","2025-01-05 00:00:00"
"122","2","102","500.00","2025-01-10 00:00:00"
"123","3","103","600.00","2025-01-15 00:00:00"
"124","4","104","150.00","2025-01-20 00:00:00"
"125","5","105","240.00","2025-01-22 00:00:00"
"126","6","106","400.00","2025-02-02 00:00:00"
"127","7","107","500.00","2025-02-10 00:00:00"
"128","8","108","100.00","2025-02-15 00:00:00"
"129","9","109","60.00","2025-02-18 00:00:00"
"130","10","110","360.00","2025-02-20 00:00:00"
"131","1","102","500.00","2025-02-25 00:00:00"
"132","2","103","600.00","2025-03-01 00:00:00"
"133","3","104","150.00","2025-03-05 00:00:00"
"134","4","105","160.00","2025-03-07 00:00:00"
"135","5","106","800.00","2025-03-10 00:00:00"
"136","6","107","750.00","2025-03-15 00:00:00"
"137","7","108","200.00","2025-03-18 00:00:00"
"138","8","109","90.00","2025-03-22 00:00:00"
"139","9","110","480.00","2025-03-25 00:00:00"
"140","10","101","800.00","2025-04-01 00:00:00"
"141","1","103","900.00","2025-04-05 00:00:00"
"142","2","104","300.00","2025-04-10 00:00:00"
"143","3","105","400.00","2025-04-12 00:00:00"
"144","4","106","1200.00","2025-04-15 00:00:00"
"145","5","107","1500.00","2025-04-18 00:00:00"
"146","6","108","400.00","2025-04-20 00:00:00"
"147","7","109","120.00","2025-04-22 00:00:00"
"148","8","110","600.00","2025-04-25 00:00:00"
"149","9","101","2400.00","2025-05-01 00:00:00"
"150","10","102","1000.00","2025-05-05 00:00:00"
"151","1","105","320.00","2025-05-07 00:00:00"
"152","2","106","800.00","2025-05-10 00:00:00"
"153","3","107","1250.00","2025-05-12 00:00:00"
"154","4","108","450.00","2025-05-15 00:00:00"
"155","5","109","180.00","2025-05-18 00:00:00"
"156","6","110","720.00","2025-05-20 00:00:00"
"157","7","101","3200.00","2025-06-01 00:00:00"
"158","8","102","1500.00","2025-06-05 00:00:00"
"159","9","103","900.00","2025-06-10 00:00:00"
"160","10","104","450.00","2025-06-12 00:00:00"
"161","1","101","1600.00","2025-01-06 00:00:00"
"162","1","101","500.00","2025-01-11 00:00:00"
"163","2","102","500.00","2025-01-12 00:00:00"
